role,champ,winrate,won,played
support,thresh,0.5169179229480737,1543,2985
support,lux,0.515358361774744,151,293
support,galio 2017,0.5113636363636364,90,176
support,sett,0.5075528700906344,336,662
support,sejuani,0.5,1,2
support,kled,0.5,1,2
support,veigar,0.5,1,2
support,transparent,0.5,10,20
support,fiddlesticks 2020,0.5,2,4
support,leona,0.49248554913294795,852,1730
support,tahm kench,0.49205087440381556,619,1258
support,maokai,0.4909090909090909,54,110
support,nautilus,0.4880257009345794,1671,3424
support,pantheon 2019,0.4873417721518987,154,316
support,taric,0.47947214076246336,327,682
support,karma,0.4794661190965092,467,974
support,zilean,0.4791666666666667,46,96
support,janna,0.4696969696969697,31,66
support,braum,0.464461994076999,941,2026
support,swain 2018,0.46153846153846156,6,13
support,yuumi,0.4597156398104265,388,844
support,lulu,0.45792563600782776,234,511
support,rumble,0.45161290322580644,14,31
support,zac,0.42857142857142855,3,7
support,vel'koz,0.42857142857142855,3,7
support,gragas,0.42028985507246375,29,69
support,senna,0.41841004184100417,100,239
support,pyke,0.38848920863309355,54,139
support,soraka,0.35714285714285715,30,84
support,renekton,0.3333333333333333,1,3
support,brand,0.3333333333333333,2,6
support,seraphine,0.3333333333333333,1,3
support,trundle,0.32142857142857145,18,56
support,zyra,0.2857142857142857,18,63
support,cho'gath,0.25,1,4
support,shaco,0.25,4,16
support,sona,0.22727272727272727,5,22
support,ashe,0.2,1,5
support,sylas,0.16666666666666666,2,12
support,sion,0.16666666666666666,1,6
support,xerath,0.16666666666666666,1,6
support,poppy,0.15789473684210525,3,19
support,ornn,0.15384615384615385,2,13
support,ziggs,0.15384615384615385,2,13
support,xayah,0.09090909090909091,1,11
support,syndra,0.09090909090909091,1,11
support,kayle 2019,0.09090909090909091,1,11
support,annie,0.08333333333333333,1,12
support,mordekaiser 2019,0.07692307692307693,1,13
support,jarvan iv,0.0625,1,16
support,elise,0.0,0,1
support,miss fortune,0.0,0,1
support,aatrox 2018,0.0,0,10
support,jayce,0.0,0,12
support,orianna,0.0,0,12
support,cassiopeia,0.0,0,1
support,irelia 2018,0.0,0,11
support,ryze,0.0,0,10
support,diana,0.0,0,10
support,zoe,0.0,0,1
support,gangplank,0.0,0,10
support,camille,0.0,0,2
support,akali 2018,0.0,0,10
support,lissandra,0.0,0,1
support,nidalee,0.0,0,1
support,gnar,0.0,0,10
support,kassadin,0.0,0,11
support,draven,0.0,0,10
support,heimerdinger,0.0,0,11
support,malphite,0.0,0,12
support,anivia,0.0,0,10
support,jinx,0.0,0,10
support,garen,0.0,0,10
support,skarner,0.0,0,10
support,graves,0.0,0,10
support,singed,0.0,0,1
support,aurelion sol,0.0,0,1
support,ivern,0.0,0,1
support,twitch,0.0,0,10
support,master yi,0.0,0,10
support,rammus,0.0,0,11
support,vi,0.0,0,10
support,teemo,0.0,0,10
support,udyr,0.0,0,10
support,lillia,0.0,0,10
support,tahmkench,0.0,0,4
